"Internal SKU","Primary EAN",Name,"Reference Numbers",Group,WMS,Warehouse,"Lot name",Quantity,Booked,Available,Required,"Expiration Date"
L312006,8006933076558,"BIO ORTO ECO FRIENDLY LATTUGA DA TAGLIO FOGLIA RICCIA",L312006,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,18,0,18,0,2025-12-20
15322,8002840153221,"DIAVOLINA ACCENDIGRILL LIQUIDO 750ml.",15322,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,113,0,113,0,2028-02-01
B33319,8006933069345,"24 PASTIGLIE DI COCCO CON RETE ? 3,5 CM",B33319,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,lotto1,2,0,2,0,2035-01-31
07707,8006933073267,"BEE HAPPY ASCLEPIAS GIALLA",07707,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,18,0,18,0,2029-03-15
07705,8006933073243,"BEE HAPPY ASCLEPIAS ROSSA",07705,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,19,0,19,0,2030-02-13
E0232,8006933027796,"AUBREZIA CASCATA AZZURRA",E0232,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,14,0,14,0,2039-02-13
07710,8006933073298,"BEE HAPPY IPOMEA PURPUREA VENICE BLUE",07710,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,19,0,19,0,2029-07-19
07708,8006933073274,"BEE HAPPY ELENIO AUTUNNALE",07708,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2032-03-14
L312001,8006933076503,"BIO ORTO ECO FRIENDLY RUCOLA COLTIVATA",L312001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L312001,17,0,17,0,2025-12-31
L311003,8006933076381,"BIO AROMI ECO FRIENDLY ERBA CIPOLLINA",L311003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,16,0,16,0,2025-12-31
GT017,3353090078709,"CANADA tg 09",GT017,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,17,0,17,0,2035-01-31
GT016,3353090078693,"CANADA tg 08",GT016,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
GT009,3353090099926,"BASIC tg 09",GT009,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
15504,8002840155041,"DIAVOLINA BRIQUETTE - 2,5kg.",15504,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,81,0,81,0,2039-02-13
B33301,8006933069352,"50 PASTIGLIE DI COCCO CON RETE ? 3,5 CM",B33301,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,11,0,11,0,2035-01-31
B80256,8006933071171,"12 VASETTI BIODEGRADABILI IN COCCO 8 CM",B80256,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,F1,20,0,20,0,2035-01-31
B33306,8006933069413,"16 VASETTI BIODEGRADABILI IN COCCO ? 8 CM",B33306,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,,0,0,0,0,
01089,8034052801089,"10 LAMPADINE BIANCO CALDO DA ESTERNO PROLUNGABILE 10M IN SCATOLA REGALO",01089,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20421219,8,0,8,0,2035-01-31
Y707001,8006933056994,"CATNIP ml 250",Y707001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,FAS18,11,0,11,0,2035-01-31
L311010,8006933076459,"BIO AROMI ECO FRIENDLY BORRAGINE",L311010,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L311010,13,0,13,0,2025-12-31
Y704001,8006933058103,"Detergente 3 in 1",Y704001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,C221930,10,0,10,0,2032-04-30
97587,8034052897587,"10 LAMPADINE BIANCO NATURALE DA ESTERNO PROLUNGABILE 10M IN SC.REGALO",97587,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,6,0,6,0,2035-01-31
Y702003,5060494310028,"DETERGENTE L 1",Y702003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,A212325,21,0,21,0,2035-01-31
L312003,8006933076527,"BIO ORTO ECO FRIENDLY MIX DI LATTUGE DA TAGLIO",L312003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,19,0,19,0,2025-12-31
E0166,8006933027123,"ALISSO GIALLO NANO CESTO DORO",E0166,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,9,0,9,0,2029-02-16
E0187,8006933027338,"ALISSO NANO BIANCO TAPPETO DI NEVE",E0187,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,02,19,0,19,0,2030-03-01
E0165,8006933027116,"ASTRO BOUQUET IN MISCUGLIO",E0165,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,18,0,18,0,2035-02-15
E0181,8006933027277,"ASTRO DELLA CINA IN MISCUGLIO",E0181,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,19,0,19,0,2028-03-12
E0160,8006933027062,"ASTRO PRINCIPESSA",E0160,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2029-05-13
E0005,8006933025051,"BASILICO ITALIANO CLASSICO",E0005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,14,0,14,0,2027-12-31
07703,8006933073229,"BEE HAPPY ASCLEPIAS ROSA",07703,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,17,0,17,0,2029-05-14
07704,8006933073236,"BEE HAPPY CARDO PALLOTTOLA",07704,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2031-03-15
07706,8006933073250,"BEE HAPPY FACELIA",07706,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,02,19,0,19,0,2030-01-31
07712,8006933073311,"BEE HAPPY FIORDALISO ALTO DIOPPIO MAUVE BALL",07712,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,19,0,19,0,2037-02-17
07711,8006933073304,"BEE HAPPY FIORDALISO NANO DOPPIO POLKA",07711,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,18,0,18,0,2030-05-14
07709,8006933073281,"BEE HAPPY IPOMEA PURPUREA LIGHT BLUE",07709,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2028-06-11
07702,8006933073212,"BEE HAPPY POLEMONIUM AZZURRO",07702,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,20,0,20,0,2030-02-15
07701,8006933073205,"BEE HAPPY SALCERELLA",07701,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,18,0,18,0,2029-02-16
L311011,8006933076466,"BIO AROMI ECO FRIENDLY ANETO",L311011,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,20,0,20,0,2025-12-31
L311001,8006933076367,"BIO AROMI ECO FRIENDLY BASILICO",L311001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,13,0,13,0,2025-12-31
L311013,8006933076480,"BIO AROMI ECO FRIENDLY CORIANDOLO",L311013,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,13,0,13,0,2025-12-31
L311005,8006933076404,"BIO AROMI ECO FRIENDLY FINOCCHIO SELVATICO",L311005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,17,0,17,0,2025-12-31
L311004,8006933076398,"BIO AROMI ECO FRIENDLY LAVANDA",L311004,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,18,0,18,0,2025-12-31
L311012,8006933076473,"BIO AROMI ECO FRIENDLY MAGGIORANA",L311012,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,19,0,19,0,2025-12-31
L311009,8006933076442,"BIO AROMI ECO FRIENDLY ORIGANO",L311009,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L311009,20,0,20,0,2028-02-13
L311002,8006933076374,"BIO AROMI ECO FRIENDLY PREZZEMOLO",L311002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,19,0,19,0,2025-12-31
L311007,8006933076428,"BIO AROMI ECO FRIENDLY ROSMARINO",L311007,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L311007,20,0,20,0,2030-02-14
L311006,8006933076411,"BIO AROMI ECO FRIENDLY SALVIA",L311006,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L311006,17,0,17,0,2025-12-31
L311014,8006933076497,"BIO AROMI ECO FRIENDLY TARASSACO",L311014,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,19,0,19,0,2025-12-12
L311008,8006933076435,"BIO AROMI ECO FRIENDLY TIMO",L311008,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,14,0,14,0,2025-12-31
L312002,8006933076510,"BIO ORTO ECO FRIENDLY POMODORO CILIEGINO A GRAPPOLO",L312002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L372002,13,0,13,0,2025-12-12
L312005,8006933076541,"BIO ORTO ECO FRIENDLY RAVANELLO ROSSO",L312005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,17,0,17,0,2025-12-31
L312004,8006933076534,"BIO ORTO ECO FRIENDLY VALERIANA D'OLANDA A SEME GROSSO",L312004,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,GL1,18,0,18,0,2025-12-31
E0278,8006933028250,"BONSAI DI PINO",E0278,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,8,0,8,0,2028-02-17
E0286,8006933028335,"DALIA A FIORE SEMPLICE IN MISCUGLIO",E0286,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lot1,14,0,14,0,2029-05-18
E0205,8006933027529,"DELPHINUM PERENNE IN MISCUGLIO",E0205,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,01,18,0,18,0,2030-01-31
GT021,3353090015773,"COLDPRO tg 10",GT021,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT022,3353090015780,"COLDPRO tg 11",GT022,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
Y708001,8006933057014,"AIR SPRAY ml 400",Y708001,,VITHALGARDENSCRAPING,VITHALGARDENSCRAPING,01,1,0,1,0,2035-01-31
15400,8002840154006,"DIAVOLINA BELFUOCO",15400,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,79,0,79,0,2035-05-30
GT020,3353090015766,"COLDPRO tg 09",GT020,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,8,0,8,0,2035-01-31
GT004,3353090078433,"AXEL tg 3/4 - Linea Bambini",GT004,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,14,0,14,0,2035-01-31
GT002,3353090078426,"ANABEL  tg 5/6  - Linea Bambini",GT002,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,18,0,18,0,2035-01-31
15330,8002840153306,"DIAVOLINA ACC. GRILL NATURALE 24 acc.",15330,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,26912022,55,0,55,0,2035-01-31
15330,8002840153306,"DIAVOLINA ACC. GRILL NATURALE 24 acc.",15330,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,45,120,0,120,0,2027-12-31
15428,8002840154280,"DIAVOLINA 20 BUSTINE ULTRALIGHT",15428,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,80,0,80,0,2035-01-31
Y706001,8006933069567,"DEODORANTE CUCCE ml 500",Y706001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
Y708001,8006933057014,"AIR SPRAY ml 400",Y708001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,01,6,0,6,0,2035-01-31
X401402,8006933079092,"ANTICOCCINIGLIA INSETTICIDA PFNPO ml 500",X401402,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L12400910,14,0,14,0,2035-01-31
GT013,3353090089491,"BOHO tg 08",GT013,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,11,0,11,0,2035-01-31
GT012,3353090089484,"BOHO tg 07",GT012,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT014,3353090082454,"CANADA tg 06",GT014,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,18,0,18,0,2035-01-31
IT6003,8023868005200,"Ammendante per concimazione di fondo 45L",IT6003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,23,0,23,0,2035-12-30
GT003,3353090099766,"ARTHUR  tg 5/7 - Linea Bambini",GT003,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT019,3353090015759,"COLDPRO tg 08",GT019,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT008,3353090099919,"BASIC tg 08",GT008,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT011,3353090089477,"BOHO tg 06",GT011,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT007,3353090099902,"BASIC tg 07",GT007,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT006,3353090099896,"BASIC tg 06",GT006,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
B33319,8006933069345,"24 PASTIGLIE DI COCCO CON RETE ? 3,5 CM",B33319,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,17,0,17,0,2035-01-31
IT6154,3121970133516,"Corteccia Pino Mari 25-40 60L",IT6154,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
15430,8002840154303,"DIAVOLINA ACCENDIFUOCO LIQUIDO INODORE 750ml.",15430,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,216039,98,0,98,0,2035-01-31
15555,8002840155553,"DIAVOLINA BICCHIERE CITRONELLA",15555,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,02,189,0,189,0,2030-01-31
GT010,3353090099933,"BASIC tg 10",GT010,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,10,0,10,0,2035-01-31
GT015,3353090078686,"CANADA tg 07",GT015,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
GT001,3353090078419,"ANABEL  tg 3/4  - Linea Bambini",GT001,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,13,0,13,0,2035-01-31
GT018,3353090078716,"CANADA tg 10",GT018,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,15,0,15,0,2035-01-31
GT005,3353090078440,"AXEL tg 5/6 - Linea Bambini",GT005,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,20,0,20,0,2035-01-31
14781,8056001114781,"6 LUCCIOLE SOLARI BIANCO CALDO CON 2 GIOCHI DI LUCE H.72CM 1,2V",14781,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,22,0,22,0,2035-01-31
15312,8002840153122,"DIAVOLINA ACCEND. NATURALE 28 acc.",15312,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,119,0,119,0,2028-02-13
15420,8002840154204,"DIAVOLINA ACCENDITUTTO",15420,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20250213,156,0,156,0,2028-02-01
15550,8002840155508,"DIAVOLINA ASTUCCIO TEALIGHT CITRONELLA 10pz.",15550,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,L1,29,0,29,0,2028-02-13
38071,8034052738071,"20 LAMPADINE BIANCO NATURALE DA ESTERNO PROLUNGABILE 15M IN SCATOLA REGA",38071,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,20421219,4,0,4,0,2030-02-24
B33300,8006933069338,"24 PASTIGLIE DI COCCO SENZA RETE ? 3,5 CM",B33300,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,19,0,19,0,2035-01-31
B33316,8006933069406,"12 VASETTI BIODEGRADABILI IN COCCO ? 6 CM",B33316,,VITHALGARDENAVAILABLE,VITHALGARDENAVAILABLE,lotto1,12,0,12,0,2035-01-31
