Order Number,Tracking Number,Carrier,Status
Order1,IT2844885269,Amazon Shipping (SP),delivered
Order2,IT2844878143,Amazon Shipping (SP),delivered
Order3,IT2844885275,Amazon Shipping (SP),delivered
Order4,F262D03847381,Amazon Shipping (SP),delivered
Order5,IT2844884296,Amazon Shipping (SP),delivered
Order6,F262D03847838,Amazon Shipping (SP),delivered
Order7,F262D03847386,Amazon Shipping (SP),delivered
Order8,IT2844889295,Amazon Shipping (SP),delivered
Order9,IT2844878662,Amazon Shipping (SP),delivered
Order10,IT2844887035,Amazon Shipping (SP),delivered
Order11,IT2844889458,Amazon Shipping (SP),delivered
Order12,F262D03847389,Amazon Shipping (SP),delivered
Order13,IT2844885280,Amazon Shipping (SP),delivered
251273648561,IT2844875720,Amazon Shipping (SP),delivered
141274951633,F262D03847850,Amazon Shipping (SP),delivered
131275118043,IT2844890113,Amazon Shipping (SP),delivered
271273540174,IT2845763834,Amazon Shipping (SP),delivered
161274874603,IT2850327800,Amazon Shipping (SP),delivered
141275277330,IT2845565278,Amazon Shipping (SP),delivered
041276589174,IT2846638770,Amazon Shipping (SP),delivered
201274758633,IT2850330630,Amazon Shipping (SP),delivered
091276177398,5O77W9TRS0NKZV,Altro Servizio,waiting_for_the_carrier
141275799974,IT2846830305,Amazon Shipping (SP),delivered
161275705641,IT2847688189,Amazon Shipping (SP),delivered
241276491532,IT2847751597,Amazon Shipping (SP),delivered
191275680695,IT2847870352,Amazon Shipping (SP),delivered
171275930860,IT2847885923,Amazon Shipping (SP),delivered
181275860952,IT2848439760,Amazon Shipping (SP),delivered
141276637032,IT2850381978,Amazon Shipping (SP),delivered
101277118798,IT2850348854,Amazon Shipping (SP),delivered
121276944943,F262D03872551,Amazon Shipping (SP),delivered
131276849447,IT2850386855,Amazon Shipping (SP),delivered
081277454935,IT2850387309,Amazon Shipping (SP),delivered
011278353907,IT2850389031,Amazon Shipping (SP),delivered
231275737464,F262D03872453,Amazon Shipping (SP),delivered
181276538114,F262D03872433,Amazon Shipping (SP),delivered
101277496441,IT2850387233,Amazon Shipping (SP),delivered
151277392741,,Amazon Shipping (SP),canceled
011279166966,IT2851458047,Amazon Shipping (SP),delivered
101278089763,F262D03876819,Amazon Shipping (SP),delivered
271276103738,IT2851486258,Amazon Shipping (SP),delivered
081278613276,F262D03876902,Amazon Shipping (SP),delivered
151277818640,IT2851577660,Amazon Shipping (SP),delivered
00525063L10231A,W1JL6PIQWSA2IM,Altro Servizio,waiting_for_the_carrier
091278604470,IT2852597010,Amazon Shipping (SP),delivered
181277663580,,Amazon Shipping (SP),canceled
111278773451,IT2853649931,Amazon Shipping (SP),delivered
061279529023,IT2853650587,Amazon Shipping (SP),delivered
011280160063,IT2853651449,Amazon Shipping (SP),delivered
121279245608,F262D03891771,Amazon Shipping (SP),delivered
251277600876,977C80935384F,Amazon Shipping (SP),delivered
00525066L5711D,IT2854711337,Amazon Shipping (SP),delivered
081279910582,IT2854753020,Amazon Shipping (SP),delivered
191278611190,IT2854816604,Amazon Shipping (SP),delivered
071280073309,IT2854839049,Amazon Shipping (SP),delivered
041280462843,IT2854875389,Amazon Shipping (SP),delivered
221278377066,IT2855457286,Amazon Shipping (SP),delivered
231277363740,IT2857592459,Amazon Shipping (SP),delivered
27-12788-54452,XU227XTNYLAZT3,Altro Servizio,waiting_for_the_carrier
22-12794-42778,977C90939224F,Amazon Shipping (SP),delivered
14-12803-95243,IT2858336776,Amazon Shipping (SP),delivered
21-12795-21440,IT2858337093,Amazon Shipping (SP),delivered
08-12810-95757,IT2858328699,Amazon Shipping (SP),delivered
402-4390791-1467502,IT2858341389,Amazon Shipping (SP),delivered
21-12792-78936,977C90940538F,Amazon Shipping (SP),delivered
407-2834182-5992334,IT2858327313,Amazon Shipping (SP),delivered
19-12794-93555,IT2858333815,Amazon Shipping (SP),delivered
171-1511552-2087520,IT2860624326,Amazon Shipping (SP),delivered
02-12815-51838,IT2858330609,Amazon Shipping (SP),delivered
22-12790-96705,IT2858331204,Amazon Shipping (SP),delivered
04-12811-85581,IT2858332729,Amazon Shipping (SP),delivered
16-12794-29874,IT2858623362,Amazon Shipping (SP),delivered
15-12795-21128,977C90940523F,Amazon Shipping (SP),delivered
12-12798-61470,IT2858324784,Amazon Shipping (SP),delivered
17-12792-17669,IT2858326385,Amazon Shipping (SP),delivered
10-12800-46600,IT2858338476,Amazon Shipping (SP),delivered
22-12783-77066,,Amazon Shipping (SP),canceled
04-12804-62843,,Amazon Shipping (SP),canceled
16-12789-80995,,Amazon Shipping (SP),canceled
07-12800-73309,,Amazon Shipping (SP),canceled
22-12795-24085,IT2858338933,Amazon Shipping (SP),delivered
26-12794-06067,IT2858517666,Amazon Shipping (SP),delivered
14-12808-58689,IT2858522971,Amazon Shipping (SP),delivered
14-12806-23650,977C90941687F,Amazon Shipping (SP),delivered
00525068L6730C,IT2858655197,Amazon Shipping (SP),delivered
00525068L8661-A,IT2858657258,Amazon Shipping (SP),delivered
00525068L13321A,IT2858656823,Amazon Shipping (SP),delivered
00525068L27818B,IT2858659553,Amazon Shipping (SP),delivered
00525069L12878A,F262D03910880,Amazon Shipping (SP),delivered
031282221533,IT2858673548,Amazon Shipping (SP),delivered
251279577814,IT2858681512,Amazon Shipping (SP),delivered
121281185065,IT2858675454,Amazon Shipping (SP),delivered
40817832018938754,IT2858712743,Amazon Shipping (SP),delivered
271279483204,IT2859518704,Amazon Shipping (SP),delivered
021282520462,IT2859518193,Amazon Shipping (SP),delivered
131281398312,IT2859518194,Amazon Shipping (SP),delivered
261279793831,IT2859529643,Amazon Shipping (SP),delivered
241281520539,F262D03913778,Amazon Shipping (SP),delivered
00525071L5789A,IT2859549274,Amazon Shipping (SP),delivered
181280824365,IT2859624722,Amazon Shipping (SP),delivered
121281559413,KG3I198U8MA6W5,Altro Servizio,waiting_for_the_carrier
13-12813-98312,,Amazon Shipping (SP),canceled
24-12815-20539,,Amazon Shipping (SP),canceled
26-12797-93831,,Amazon Shipping (SP),canceled
12-12815-59413,,Amazon Shipping (SP),canceled
18-12808-24365,,Amazon Shipping (SP),canceled
17-12809-59087,IT2860967148,Amazon Shipping (SP),delivered
07-12825-32852,IT2860964357,Amazon Shipping (SP),delivered
01-12833-07261,IT2860963575,Amazon Shipping (SP),delivered
408-5693076-2494709,IT2861680291,Amazon Shipping (SP),delivered
408-3361080-2986705,F271C90391653,Amazon Shipping (SP),delivered
407-3202166-8201948,IT2862518195,Amazon Shipping (SP),delivered
404-3825011-5202724,F262D03930366,Amazon Shipping (SP),delivered
408-3709740-8137129,IT2862509483,Amazon Shipping (SP),delivered
16-12815-96355,7DKWGP3HEUAHEO,Altro Servizio,waiting_for_the_carrier
26-12804-38949,977C90948161F,Amazon Shipping (SP),delivered
005-25072L5354-B,IT2862510096,Amazon Shipping (SP),delivered
005-25072L18762-A,977C90948236F,Amazon Shipping (SP),delivered
005-25072L29110-A,IT2862513686,Amazon Shipping (SP),delivered
07-12841-63464,IT2864541181,Amazon Shipping (SP),delivered
405-9695634-2381108,IT2864584947,Amazon Shipping (SP),delivered
406-8139171-8681941,IT2864571588,Amazon Shipping (SP),delivered
07-12840-53673,IT2864470607,Amazon Shipping (SP),delivered
405-1113607-2367510,IT2864551551,Amazon Shipping (SP),delivered
402-9805335-9281937,IT2864585838,Amazon Shipping (SP),delivered
05-12842-55551,IT2864541858,Amazon Shipping (SP),delivered
171-1592894-1176313,IT2864464236,Amazon Shipping (SP),delivered
23-12819-62936,977C90951742F,Amazon Shipping (SP),delivered
11-12834-02382,977C90952016F,Amazon Shipping (SP),delivered
402-0102971-3701133,IT2864465629,Amazon Shipping (SP),delivered
07-12839-00760,IT2864461994,Amazon Shipping (SP),delivered
408-0768592-0263507,IT2864466801,Amazon Shipping (SP),delivered
21-12820-26249,977C90951905F,Amazon Shipping (SP),delivered
15-12827-45541,IT2864466760,Amazon Shipping (SP),delivered
406-7237547-8493120,F271C90392500,Amazon Shipping (SP),delivered
171-0057795-7633902,IT2864531496,Amazon Shipping (SP),delivered
02-12841-59489,F262D03938258,Amazon Shipping (SP),delivered
171-6409762-0037105,IT2864536905,Amazon Shipping (SP),delivered
407-8909751-7892337,IT2864535475,Amazon Shipping (SP),delivered
408-6287520-2654705,IT2864532717,Amazon Shipping (SP),delivered
408-8161848-1524315,IT2864540998,Amazon Shipping (SP),delivered
402-6917489-3246766,IT2864547582,Amazon Shipping (SP),delivered
04-12837-98037,D6TRVQP8G4OS0L,Altro Servizio,waiting_for_the_carrier
403-2133940-8006715,IT2864569000,Amazon Shipping (SP),delivered
403-0645676-4575521,F262D03938873,Amazon Shipping (SP),delivered
09-12830-87748,IT2864539157,Amazon Shipping (SP),delivered
07-12833-47842,F262D03938261,Amazon Shipping (SP),delivered
405-7097575-7909934,IT2864542287,Amazon Shipping (SP),delivered
403-2448500-0979530,IT2864573079,Amazon Shipping (SP),delivered
402-2278564-7512316,IT2864532718,Amazon Shipping (SP),delivered
407-3171437-9372337,IT2864477908,Amazon Shipping (SP),delivered
11-12826-36567,6HXH3GSPUEFF98,Altro Servizio,waiting_for_the_carrier
403-0547696-2346732,IT2864529634,Amazon Shipping (SP),delivered
