Order Number,Tracking Number,Carrier,Order Date
Order1,IT2844885269,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order2,IT2844878143,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order3,IT2844885275,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order4,F262D03847381,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order5,IT2844884296,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order6,F262D03847838,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order7,F262D03847386,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order8,IT2844889295,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order9,IT2844878662,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order10,IT2844887035,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order11,IT2844889458,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order12,F262D03847389,e6e83624-3d39-413d-a60e-ec8425c41b95,
Order13,IT2844885280,e6e83624-3d39-413d-a60e-ec8425c41b95,
251273648561,IT2844875720,e6e83624-3d39-413d-a60e-ec8425c41b95,
141274951633,F262D03847850,e6e83624-3d39-413d-a60e-ec8425c41b95,
131275118043,IT2844890113,e6e83624-3d39-413d-a60e-ec8425c41b95,
271273540174,IT2845763834,e6e83624-3d39-413d-a60e-ec8425c41b95,
161274874603,IT2850327800,e6e83624-3d39-413d-a60e-ec8425c41b95,
141275277330,IT2845565278,e6e83624-3d39-413d-a60e-ec8425c41b95,
041276589174,IT2846638770,e6e83624-3d39-413d-a60e-ec8425c41b95,
201274758633,IT2850330630,e6e83624-3d39-413d-a60e-ec8425c41b95,
091276177398,5O77W9TRS0NKZV,55588c11-769d-4911-924a-c9ff3bd00cca,
141275799974,IT2846830305,e6e83624-3d39-413d-a60e-ec8425c41b95,
161275705641,IT2847688189,e6e83624-3d39-413d-a60e-ec8425c41b95,
241276491532,IT2847751597,e6e83624-3d39-413d-a60e-ec8425c41b95,
191275680695,IT2847870352,e6e83624-3d39-413d-a60e-ec8425c41b95,
171275930860,IT2847885923,e6e83624-3d39-413d-a60e-ec8425c41b95,
181275860952,IT2848439760,e6e83624-3d39-413d-a60e-ec8425c41b95,
141276637032,IT2850381978,e6e83624-3d39-413d-a60e-ec8425c41b95,
101277118798,IT2850348854,e6e83624-3d39-413d-a60e-ec8425c41b95,
121276944943,F262D03872551,e6e83624-3d39-413d-a60e-ec8425c41b95,
131276849447,IT2850386855,e6e83624-3d39-413d-a60e-ec8425c41b95,
081277454935,IT2850387309,e6e83624-3d39-413d-a60e-ec8425c41b95,
011278353907,IT2850389031,e6e83624-3d39-413d-a60e-ec8425c41b95,
231275737464,F262D03872453,e6e83624-3d39-413d-a60e-ec8425c41b95,
181276538114,F262D03872433,e6e83624-3d39-413d-a60e-ec8425c41b95,
101277496441,IT2850387233,e6e83624-3d39-413d-a60e-ec8425c41b95,
151277392741,,e6e83624-3d39-413d-a60e-ec8425c41b95,
011279166966,IT2851458047,e6e83624-3d39-413d-a60e-ec8425c41b95,
101278089763,F262D03876819,e6e83624-3d39-413d-a60e-ec8425c41b95,
271276103738,IT2851486258,e6e83624-3d39-413d-a60e-ec8425c41b95,
081278613276,F262D03876902,e6e83624-3d39-413d-a60e-ec8425c41b95,
151277818640,IT2851577660,e6e83624-3d39-413d-a60e-ec8425c41b95,
00525063L10231A,W1JL6PIQWSA2IM,55588c11-769d-4911-924a-c9ff3bd00cca,
091278604470,IT2852597010,e6e83624-3d39-413d-a60e-ec8425c41b95,
181277663580,,e6e83624-3d39-413d-a60e-ec8425c41b95,
111278773451,IT2853649931,e6e83624-3d39-413d-a60e-ec8425c41b95,
061279529023,IT2853650587,e6e83624-3d39-413d-a60e-ec8425c41b95,
011280160063,IT2853651449,e6e83624-3d39-413d-a60e-ec8425c41b95,
121279245608,F262D03891771,e6e83624-3d39-413d-a60e-ec8425c41b95,
251277600876,977C80935384F,e6e83624-3d39-413d-a60e-ec8425c41b95,
00525066L5711D,IT2854711337,e6e83624-3d39-413d-a60e-ec8425c41b95,
081279910582,IT2854753020,e6e83624-3d39-413d-a60e-ec8425c41b95,
191278611190,IT2854816604,e6e83624-3d39-413d-a60e-ec8425c41b95,
071280073309,IT2854839049,e6e83624-3d39-413d-a60e-ec8425c41b95,
041280462843,IT2854875389,e6e83624-3d39-413d-a60e-ec8425c41b95,
221278377066,IT2855457286,e6e83624-3d39-413d-a60e-ec8425c41b95,
231277363740,IT2857592459,e6e83624-3d39-413d-a60e-ec8425c41b95,
27-12788-54452,XU227XTNYLAZT3,55588c11-769d-4911-924a-c9ff3bd00cca,2025-03-10T13:07:46+01:00
22-12794-42778,977C90939224F,e6e83624-3d39-413d-a60e-ec8425c41b95,2025-03-10T13:07:48+01:00
14-12803-95243,IT2858336776,e6e83624-3d39-413d-a60e-ec8425c41b95,2025-03-10T15:29:38+01:00
